region,method,display,sessions,worst_5pct_session_count,worst_5pct_rebuffer_s,worst_10pct_session_count,worst_10pct_rebuffer_s,maximum_rebuffer_s,severe_session_count,severe_session_ratio,severe_session_wilson_ci_low,severe_session_wilson_ci_high,qoe,average_bitrate_mbps,total_rebuffer_s,startup_delay_s,smoothness_penalty_mbps,wasted_traffic_ratio,preflight_capped_decisions,rescue_decisions
osn,cmab,CMAB,10,1,112.48139999675752,1,112.48139999675752,112.48139999675752,4,0.4,0.16818032970623614,0.6873262302663417,4625.5456000099175,117.66666666666667,22.761359999752045,0.9632400001525878,112.0,0.0,0.0,0.0
osn,dash_dynamic,dash.js Dynamic,10,1,2.0344000005722047,1,2.0344000005722047,2.0344000005722047,0,0.0,0.0,0.2775327998628892,2776.231600002289,63.72291666666666,0.4817099999427795,0.7343300000190734,263.2,0.0006300125745920613,0.0,0.0
osn,lumos_mpc,Lumos,10,1,85.40039999771118,1,85.40039999771118,85.40039999771118,8,0.8,0.49016247153664183,0.9433178485456247,3986.9451999969483,111.74583333333335,27.571370000076293,0.9447799999237061,274.0,0.0,0.0,0.0
osn,robust_mpc,RobustMPC,10,1,15.740199998855593,1,15.740199998855593,15.740199998855593,3,0.3,0.10779126740630099,0.6032218525388546,3908.219999996186,92.0625,6.3345000000953675,0.9509899999618531,257.4,0.0,0.0,0.0
osn,safesabr_selective_rescue,SafeSABR,10,1,12.945899999618533,1,12.945899999618533,12.945899999618533,1,0.1,0.017876213095072896,0.4041500267952385,3984.4160000190736,97.43333333333334,5.899599999523163,1.0068099999427795,456.4,0.01663998200367704,2.9,4.2
osn,sara,SARA,10,1,15.416600000381466,1,15.416600000381466,15.416600000381466,3,0.3,0.10779126740630099,0.6032218525388546,4004.6471999969485,93.22083333333333,5.988820000076293,0.9542700001716614,230.4,0.0,0.0,0.0
osn,starnet_mpc,StarNet,10,1,122.36749999713895,1,122.36749999713895,122.36749999713895,7,0.7,0.39677814746114537,0.8922087325936989,3941.285600006104,107.99583333333335,27.66285999984741,0.9287800000190736,136.0,0.0,0.0,0.0
osn,wabb,WABB,10,1,48.28390000152587,1,48.28390000152587,48.28390000152587,3,0.3,0.10779126740630099,0.6032218525388546,2026.3447999954224,73.10416666666666,8.91638000011444,0.915110000038147,1126.0,0.0,0.0,0.0
us,cmab,CMAB,10,1,80.41650000095368,1,80.41650000095368,80.41650000095368,3,0.3,0.10779126740630099,0.6032218525388546,5036.700800006866,117.66666666666667,12.482479999828339,1.165869999885559,112.0,0.0,0.0,0.0
us,dash_dynamic,dash.js Dynamic,10,1,2.888099999427795,1,2.888099999427795,2.888099999427795,0,0.0,0.0,0.2775327998628892,3209.4843999938967,74.24583333333334,0.6353900001525878,0.7925099999427795,328.9,0.0009707652325827212,0.0,0.0
