method,region,trace_id,qoe,average_bitrate_mbps,total_rebuffer_s,startup_delay_s,smoothness_penalty_mbps,wasted_traffic_ratio,preflight_capped_decisions,rescue_decisions,severe_session
cmab,osn,osn_recording_099_window_001.trace,5461.5,117.66666666666667,1.8625,0.8583000001907348,112,0,0,0,0
cmab,osn,osn_recording_080_window_001.trace,5181.9,117.66666666666667,8.8525,0.9445,112,0,0,0,0
cmab,osn,osn_recording_093_window_000.trace,5247.98,117.66666666666667,7.2005,1.1235,112,0,0,0,0
cmab,osn,osn_recording_063_window_000.trace,5034.960000038147,117.66666666666667,12.525999999046325,0.9363000001907349,112,0,0,0,1
cmab,osn,osn_recording_062_window_001.trace,4479.7599998855585,117.66666666666667,26.406000002861024,0.8871000003814697,112,0,0,0,1
cmab,osn,osn_recording_046_window_000.trace,5466.207999992371,117.66666666666667,1.744800000190735,0.8751000003814697,112,0,0,0,0
cmab,osn,osn_recording_077_window_001.trace,5469.195999984741,117.66666666666667,1.6701000003814697,0.9615,112,0,0,0,0
cmab,osn,osn_recording_112_window_001.trace,5227.976000022888,117.66666666666667,7.700599999427796,0.864,112,0,0,0,0
cmab,osn,osn_recording_118_window_000.trace,3649.232000045776,117.66666666666667,47.169199998855596,0.9741000003814697,112,0,0,0,1
cmab,osn,osn_recording_064_window_000.trace,1036.744000129699,117.66666666666667,112.48139999675752,1.208,112,0,0,0,1
cmab,us,us_recording_238_window_008.trace,5535.34,117.66666666666667,0.0165,0.9298000001907348,112,0,0,0,0
cmab,us,us_recording_223_window_004.trace,5536,117.66666666666667,0,0.8971000003814698,112,0,0,0,0
cmab,us,us_recording_196_window_014.trace,5536,117.66666666666667,0,0.9453999996185303,112,0,0,0,0
cmab,us,us_recording_222_window_001.trace,5435.736000022888,117.66666666666667,2.506599999427795,0.9185,112,0,0,0,0
cmab,us,us_recording_192_window_007.trace,5518.087999992371,117.66666666666667,0.44780000019073485,0.9327999992370606,112,0,0,0,0
cmab,us,us_recording_203_window_004.trace,5389.88799999237,117.66666666666667,3.6528000001907346,0.9151999998092651,112,0,0,0,0
cmab,us,us_recording_213_window_006.trace,5252.092000083923,117.66666666666667,7.097699997901916,0.9067999992370606,112,0,0,0,0
cmab,us,us_recording_226_window_005.trace,4897.864000053406,117.66666666666667,15.953399998664855,0.9733000001907348,112,0,0,0,1
cmab,us,us_recording_225_window_004.trace,4946.659999961853,117.66666666666667,14.733500000953676,0.9121999998092651,112,0,0,0,1
cmab,us,us_recording_212_window_001.trace,2319.339999961853,117.66666666666667,80.41650000095368,3.32760000038147,112,0,0,0,1
cmab,vic,vic_recording_148_window_000.trace,4559.459999961853,117.66666666666667,24.413500000953675,0.9688000001907349,112,0,0,0,1
cmab,vic,vic_recording_143_window_000.trace,5536,117.66666666666667,0,0.9085999994277955,112,0,0,0,0
cmab,vic,vic_recording_122_window_000.trace,5196.9559999847415,117.66666666666667,8.47610000038147,0.9266999998092651,112,0,0,0,0
cmab,vic,vic_recording_123_window_000.trace,5310.6639999008175,117.66666666666667,5.633400002479553,0.998,112,0,0,0,0
cmab,vic,vic_recording_130_window_000.trace,5220.007999877929,117.66666666666667,7.899800003051758,0.9840999994277954,112,0,0,0,0
cmab,vic,vic_recording_107_window_000.trace,2712.039999961853,117.66666666666667,70.59900000095368,0.8148999996185303,112,0,0,0,1
cmab,vic,vic_recording_131_window_000.trace,4041.93599998474,117.66666666666667,37.35160000038148,1.081,112,0,0,0,1
cmab,vic,vic_recording_135_window_000.trace,2672.6599999618534,117.66666666666667,71.58350000095366,0.9216000003814697,112,0,0,0,1
cmab,vic,vic_recording_111_window_000.trace,2400.396000061035,117.66666666666667,78.39009999847413,1.2692000007629394,112,0,0,0,1
cmab,vic,vic_recording_112_window_000.trace,104.01999992370656,117.66666666666667,135.79950000190735,1.1744000005722046,112,0,0,0,1
dash_dynamic,osn,osn_recording_099_window_001.trace,4994.623999977111,109.4375,2.0344000005722047,0.6846000003814697,177,0,0,0,0
dash_dynamic,osn,osn_recording_080_window_001.trace,2676,62.5625,0,0.6975999994277954,327,0.0014258265495324552,0,0,0
dash_dynamic,osn,osn_recording_093_window_000.trace,2856,63.1875,0,0.7156999998092651,177,0,0,0,0
dash_dynamic,osn,osn_recording_063_window_000.trace,2946,65.0625,0,0.8347999992370605,177,0,0,0,0
dash_dynamic,osn,osn_recording_062_window_001.trace,1673.7720000076295,42.875,0.6806999998092651,0.7153999996185303,357,0.001051191400730514,0,0,0
dash_dynamic,osn,osn_recording_046_window_000.trace,3593.8280000305176,83.1875,1.0542999992370605,0.7326000003814698,357,0,0,0,0
dash_dynamic,osn,osn_recording_077_window_001.trace,3051,71.625,0,0.7188000001907349,387,0.0008274085827908357,0,0,0
dash_dynamic,osn,osn_recording_112_window_001.trace,3171.7679999923707,71.3125,0.3558000001907349,0.6631000003814698,237,0,0,0,0
dash_dynamic,osn,osn_recording_118_window_000.trace,1551,36.625,0,0.7403000001907348,207,0.0011659954193606818,0,0,0
dash_dynamic,osn,osn_recording_064_window_000.trace,1248.324000015259,31.354166666666668,0.6918999996185302,0.8404000005722045,229,0.0018297037935061271,0,0,0
dash_dynamic,us,us_recording_238_window_008.trace,4816,107.4375,0,0.7506999998092652,341,0.00034850717654361774,0,0,0
dash_dynamic,us,us_recording_223_window_004.trace,4116,93.1875,0,0.7816999998092652,357,0,0,0,0
dash_dynamic,us,us_recording_196_window_014.trace,5136,110.6875,0,0.8074000005722046,177,0,0,0,0
dash_dynamic,us,us_recording_222_window_001.trace,3169.0759999847414,80.375,0.04810000038146973,0.7641999998092651,687,0.0008079600263773933,0,0,0
dash_dynamic,us,us_recording_192_window_007.trace,4334.979999961853,98.1875,0.5255000009536743,0.7223000001907348,357,0.0034896016260771725,0,0,0
dash_dynamic,us,us_recording_203_window_004.trace,3260.023999977112,76,0.02440000057220459,0.791,387,0.0010267127097607174,0,0,0
dash_dynamic,us,us_recording_213_window_006.trace,2559.3720000076296,60.6875,0.6656999998092651,0.7470999994277954,327,0,0,0,0
dash_dynamic,us,us_recording_226_window_005.trace,1875.7600000000002,45.0625,0.131,0.7155999994277954,282,0.0014687560564586835,0,0,0
dash_dynamic,us,us_recording_225_window_004.trace,1855.476000022888,47.25,2.888099999427795,0.766,297,0,0,0,0
dash_dynamic,us,us_recording_212_window_001.trace,972.1559999847411,23.583333333333332,2.07110000038147,1.0791000003814697,77,0.0025661147306096266,0,0,0
dash_dynamic,vic,vic_recording_148_window_000.trace,2736,58.1875,0,0.7871999998092651,57,0,0,0,0
dash_dynamic,vic,vic_recording_143_window_000.trace,4611,104.125,0,0.7725999994277954,387,0.0005144775818611559,0,0,0
dash_dynamic,vic,vic_recording_122_window_000.trace,2526,57.5625,0,0.7639000005722046,237,0,0,0,0
dash_dynamic,vic,vic_recording_123_window_000.trace,2856,61.9375,0,0.7372999992370606,117,0,0,0,0
dash_dynamic,vic,vic_recording_130_window_000.trace,2676,59.4375,0,0.7561999998092651,177,0,0,0,0
dash_dynamic,vic,vic_recording_107_window_000.trace,1712.44,41.3125,1.589,0.7375,207,0,0,0,0
dash_dynamic,vic,vic_recording_131_window_000.trace,1476,35.6875,0,0.7446000003814697,237,0.0027595138178636894,0,0,0
dash_dynamic,vic,vic_recording_135_window_000.trace,1207.7240000152588,30.75,2.6818999996185307,0.7796999998092652,161,0.009543475537631577,0,0,0
